epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.089,2.05507,4.47165,1.27178,0.01398,0.053,0.00985,0.00591,1.86259,4.41815,1.06943,3.125e-05,3.125e-05,3.125e-05
2,18.6836,1.87718,4.35598,1.16421,0.0191,0.06661,0.01625,0.00983,1.81771,4.37,1.03574,6.86819e-05,6.86819e-05,6.86819e-05
3,24.91,1.76777,4.03088,1.06264,0.03756,0.10101,0.03843,0.02568,1.69992,inf,1.01353,0.00010604,0.00010604,0.00010604
4,31.3076,1.7853,3.6839,1.03142,0.01975,0.13459,0.03669,0.02521,1.58452,inf,0.98194,0.000143323,0.000143323,0.000143323
5,37.774,1.78502,3.34563,1.01801,0.01707,0.14254,0.0518,0.03985,1.52994,inf,0.97376,0.000180532,0.000180532,0.000180532
6,44.1208,1.75871,2.94909,1.01117,0.01516,0.14076,0.05556,0.03905,1.52567,inf,0.9701,0.000217667,0.000217667,0.000217667
7,50.6926,1.72319,2.57337,0.99959,0.01553,0.14546,0.06205,0.04426,1.50961,inf,0.95694,0.000254728,0.000254728,0.000254728
8,57.0993,1.69575,2.24347,0.99102,0.01786,0.1587,0.06805,0.04419,1.52923,inf,0.95473,0.000291714,0.000291714,0.000291714
9,63.5094,1.64274,2.01391,0.97589,0.0218,0.19128,0.08768,0.05602,1.50261,inf,0.94982,0.000328627,0.000328627,0.000328627
10,69.9491,1.55618,1.79218,0.97023,0.02655,0.26059,0.14146,0.08504,1.53701,3.67779,0.94776,0.000365464,0.000365464,0.000365464
11,76.4196,1.56526,1.67585,0.96046,0.0272,0.25044,0.1195,0.07824,1.49912,3.62524,0.94356,0.000402228,0.000402228,0.000402228
12,82.7915,1.50079,1.54399,0.95425,0.03164,0.2753,0.12603,0.08565,1.44609,3.51615,0.93594,0.000438918,0.000438918,0.000438918
13,89.1689,1.46314,1.46759,0.9451,0.03882,0.33688,0.16624,0.10889,1.42981,3.34843,0.93077,0.000475533,0.000475533,0.000475533
14,95.5138,1.41262,1.37496,0.93918,0.03932,0.35402,0.1871,0.12805,1.39526,3.13081,0.92753,0.000512074,0.000512074,0.000512074
15,101.878,1.39547,1.33109,0.93596,0.57855,0.22608,0.25357,0.16738,1.44181,2.75656,0.92688,0.00054854,0.00054854,0.00054854
16,108.235,1.3635,1.25565,0.93001,0.78635,0.09988,0.26964,0.18314,1.42918,2.48185,0.92893,0.000584933,0.000584933,0.000584933
17,114.532,1.33845,1.2294,0.92612,0.82279,0.1231,0.2954,0.20506,1.4162,2.22471,0.9262,0.0006151,0.0006151,0.0006151
18,120.92,1.33378,1.21196,0.92851,0.91506,0.11376,0.29571,0.19542,1.50507,2.12922,0.93373,0.000614481,0.000614481,0.000614481
19,127.171,1.33795,1.16217,0.92428,0.89627,0.17597,0.32095,0.20775,1.5268,1.84336,0.93464,0.000613863,0.000613863,0.000613863
20,133.429,1.31126,1.14174,0.92237,0.8163,0.19932,0.34129,0.24377,1.29766,1.69876,0.90083,0.000613244,0.000613244,0.000613244
21,139.829,1.2594,1.11096,0.91096,0.76194,0.25427,0.35095,0.25319,1.28842,1.58376,0.90079,0.000612625,0.000612625,0.000612625
22,146.197,1.26208,1.09957,0.91404,0.81838,0.28138,0.35692,0.25391,1.27174,1.40077,0.90196,0.000612006,0.000612006,0.000612006
23,152.602,1.27763,1.08521,0.91573,0.77004,0.28762,0.35881,0.25966,1.27786,1.33224,0.90483,0.000611387,0.000611387,0.000611387
24,158.918,1.2701,1.06607,0.91234,0.77667,0.2974,0.35702,0.25325,1.31025,1.26824,0.9098,0.000610769,0.000610769,0.000610769
25,165.432,1.26135,1.04709,0.9112,0.73971,0.31222,0.3657,0.25623,1.3086,1.24575,0.9088,0.00061015,0.00061015,0.00061015
26,171.769,1.25678,1.03283,0.90868,0.6602,0.33222,0.38906,0.2747,1.22223,1.09286,0.89588,0.000609531,0.000609531,0.000609531
27,178.029,1.21784,1.0025,0.90584,0.69047,0.33025,0.39609,0.28326,1.20298,1.05323,0.8906,0.000608913,0.000608913,0.000608913
28,184.405,1.23644,1.00653,0.90512,0.78365,0.32618,0.38755,0.27896,1.20123,1.00969,0.88726,0.000608294,0.000608294,0.000608294
29,190.783,1.20892,0.99725,0.89776,0.62847,0.32764,0.37451,0.25837,1.29743,1.04611,0.89968,0.000607675,0.000607675,0.000607675
30,197.241,1.20469,0.97975,0.90245,0.65055,0.34642,0.39133,0.26812,1.3076,1.01723,0.90434,0.000607056,0.000607056,0.000607056
31,203.54,1.26775,0.99098,0.9111,0.67824,0.34385,0.40588,0.28327,1.21312,0.99043,0.89382,0.000606437,0.000606437,0.000606437
32,209.949,1.21758,0.9799,0.90643,0.63125,0.35854,0.39619,0.27758,1.21212,0.97836,0.89471,0.000605819,0.000605819,0.000605819
33,216.182,1.17192,0.95148,0.89654,0.65555,0.361,0.40533,0.2872,1.19024,0.92241,0.89219,0.0006052,0.0006052,0.0006052
34,222.689,1.17965,0.94021,0.89723,0.66153,0.36489,0.41438,0.29319,1.18189,0.94155,0.88846,0.000604581,0.000604581,0.000604581
35,229.032,1.17631,0.92551,0.89911,0.76731,0.3539,0.41135,0.29236,1.15751,0.90912,0.88158,0.000603963,0.000603963,0.000603963
36,235.45,1.15789,0.91449,0.89706,0.65568,0.37106,0.41868,0.2944,1.12461,0.88733,0.87693,0.000603344,0.000603344,0.000603344
37,241.876,1.13589,0.90411,0.89136,0.6833,0.3726,0.42805,0.29784,1.1452,0.86371,0.87678,0.000602725,0.000602725,0.000602725
38,248.017,1.13283,0.88088,0.89151,0.71916,0.36304,0.42031,0.28834,1.20322,0.89691,0.89039,0.000602106,0.000602106,0.000602106
39,254.374,1.19014,0.90171,0.89539,0.68872,0.36541,0.4203,0.28389,1.23364,0.90035,0.8957,0.000601488,0.000601488,0.000601488
40,260.532,1.17634,0.89109,0.8976,0.7102,0.37943,0.42875,0.29429,1.18251,0.86973,0.8865,0.000600869,0.000600869,0.000600869
41,266.791,1.14358,0.87151,0.89047,0.69405,0.39549,0.44304,0.31049,1.11218,0.83293,0.87297,0.00060025,0.00060025,0.00060025
42,273.087,1.13057,0.86077,0.8885,0.70594,0.38806,0.445,0.30939,1.13958,0.81289,0.8757,0.000599631,0.000599631,0.000599631
43,279.333,1.13856,0.85469,0.88896,0.76402,0.38778,0.44467,0.30613,1.17847,0.81884,0.8778,0.000599012,0.000599012,0.000599012
44,285.685,1.15552,0.84724,0.89129,0.73936,0.38004,0.43325,0.29721,1.1921,0.83729,0.88211,0.000598394,0.000598394,0.000598394
45,292.004,1.15423,0.87172,0.8937,0.72995,0.38997,0.43684,0.31384,1.11268,0.83298,0.87023,0.000597775,0.000597775,0.000597775
46,298.347,1.10023,0.8367,0.88911,0.75886,0.36965,0.4396,0.3076,1.10621,0.82541,0.87177,0.000597156,0.000597156,0.000597156
47,304.661,1.10799,0.83119,0.88132,0.67629,0.38899,0.43352,0.30719,1.10501,0.8224,0.87105,0.000596538,0.000596538,0.000596538
48,310.935,1.10526,0.82647,0.88458,0.71476,0.40768,0.45321,0.32398,1.06971,0.78461,0.86317,0.000595919,0.000595919,0.000595919
49,317.188,1.11528,0.82513,0.88263,0.68557,0.4067,0.46254,0.33068,1.07875,0.78205,0.86815,0.0005953,0.0005953,0.0005953
50,323.465,1.12275,0.82694,0.8853,0.71332,0.40789,0.46595,0.32964,1.07335,0.77176,0.86529,0.000594681,0.000594681,0.000594681
51,329.799,1.07986,0.80261,0.87844,0.73537,0.40518,0.46482,0.32851,1.06226,0.75548,0.86151,0.000594062,0.000594062,0.000594062
52,336.219,1.10319,0.80485,0.87982,0.76535,0.40895,0.46616,0.32629,1.07399,0.77234,0.86241,0.000593444,0.000593444,0.000593444
53,342.619,1.11891,0.82032,0.88546,0.75435,0.41253,0.4693,0.33448,1.06401,0.76372,0.86199,0.000592825,0.000592825,0.000592825
54,348.993,1.10956,0.80104,0.88552,0.72339,0.39722,0.45078,0.31775,1.09124,0.8012,0.86952,0.000592206,0.000592206,0.000592206
55,355.274,1.10393,0.80502,0.88266,0.76774,0.39508,0.46689,0.32674,1.06228,0.77908,0.86644,0.000591587,0.000591587,0.000591587
56,361.573,1.08155,0.78104,0.88406,0.80586,0.38109,0.47049,0.32854,1.05812,0.76175,0.86566,0.000590969,0.000590969,0.000590969
57,367.82,1.03421,0.76811,0.87189,0.7485,0.40876,0.47569,0.337,1.04449,0.75089,0.86248,0.00059035,0.00059035,0.00059035
58,374.17,1.06136,0.77754,0.8761,0.79253,0.39102,0.47159,0.33271,1.06061,0.76701,0.86727,0.000589731,0.000589731,0.000589731
59,380.646,1.06759,0.77655,0.87768,0.79973,0.40505,0.4836,0.33742,1.05508,0.75043,0.86804,0.000589112,0.000589112,0.000589112
60,387.063,1.06559,0.77419,0.87962,0.7174,0.40161,0.46499,0.32701,1.08038,0.79394,0.8671,0.000588494,0.000588494,0.000588494
61,393.312,1.06526,0.77246,0.87753,0.80336,0.3943,0.47397,0.33045,1.07821,0.76057,0.867,0.000587875,0.000587875,0.000587875
62,399.552,1.07495,0.7699,0.87733,0.79536,0.41738,0.48785,0.34302,1.04215,0.73674,0.86496,0.000587256,0.000587256,0.000587256
63,406.034,1.07428,0.7606,0.87666,0.79515,0.42594,0.49644,0.34169,1.06053,0.73303,0.86448,0.000586637,0.000586637,0.000586637
64,412.387,1.0796,0.77293,0.87639,0.78722,0.41866,0.48464,0.3433,1.02522,0.73206,0.86357,0.000586019,0.000586019,0.000586019
65,418.712,1.056,0.75475,0.87795,0.77492,0.40892,0.48161,0.34122,1.05311,0.73562,0.86395,0.0005854,0.0005854,0.0005854
66,425.023,1.10204,0.77231,0.87761,0.75294,0.41931,0.48101,0.34268,1.04351,0.72772,0.86503,0.000584781,0.000584781,0.000584781
67,431.486,1.07918,0.75596,0.87313,0.78771,0.41109,0.48375,0.3439,1.0429,0.72846,0.86485,0.000584163,0.000584163,0.000584163
68,437.978,1.03612,0.74539,0.87311,0.81198,0.39974,0.49973,0.35597,1.01276,0.71025,0.85835,0.000583544,0.000583544,0.000583544
69,444.188,1.0321,0.73218,0.8723,0.77551,0.42893,0.50436,0.35216,1.01588,0.68452,0.85736,0.000582925,0.000582925,0.000582925
70,450.583,1.0572,0.73255,0.87234,0.75965,0.42986,0.50008,0.3409,1.11515,0.7197,0.868,0.000582306,0.000582306,0.000582306
71,456.854,1.08968,0.74854,0.87678,0.7898,0.42764,0.50093,0.34381,1.07162,0.7237,0.86296,0.000581687,0.000581687,0.000581687
72,463.194,1.05296,0.74124,0.87421,0.73871,0.43305,0.49514,0.3566,1.01739,0.70415,0.85702,0.000581069,0.000581069,0.000581069
73,469.563,1.08793,0.74215,0.87509,0.73428,0.43298,0.49305,0.34497,1.04313,0.71763,0.86462,0.00058045,0.00058045,0.00058045
74,475.829,1.07288,0.73986,0.87574,0.73771,0.43403,0.48769,0.34991,1.02301,0.70627,0.86142,0.000579831,0.000579831,0.000579831
75,482.039,1.01812,0.71203,0.86455,0.80241,0.42939,0.50618,0.35773,0.98305,0.67886,0.85439,0.000579213,0.000579213,0.000579213
76,488.406,1.02074,0.712,0.8666,0.7665,0.43517,0.50275,0.35874,1.00632,0.68814,0.85569,0.000578594,0.000578594,0.000578594
77,494.841,1.04341,0.73187,0.87342,0.75667,0.41501,0.48632,0.33671,1.08055,0.74414,0.86492,0.000577975,0.000577975,0.000577975
78,501.236,1.03475,0.73286,0.86979,0.77627,0.44183,0.50468,0.35797,1.04141,0.7086,0.86109,0.000577356,0.000577356,0.000577356
79,507.438,1.04201,0.72769,0.8697,0.78619,0.43928,0.51704,0.35915,1.0191,0.68886,0.86001,0.000576738,0.000576738,0.000576738
80,513.774,1.01898,0.71572,0.86823,0.78585,0.43204,0.51432,0.36333,1.03198,0.6966,0.8584,0.000576119,0.000576119,0.000576119
81,520.089,1.03643,0.72358,0.86909,0.80216,0.42581,0.51931,0.36823,1.00696,0.68549,0.8569,0.0005755,0.0005755,0.0005755
82,526.506,0.98462,0.69298,0.86105,0.80413,0.42996,0.51668,0.36459,1.02378,0.67918,0.85804,0.000574881,0.000574881,0.000574881
83,532.882,1.02492,0.72022,0.87134,0.79335,0.44017,0.51538,0.3618,1.01559,0.69214,0.85436,0.000574263,0.000574263,0.000574263
84,539.274,1.0452,0.715,0.86639,0.76635,0.45235,0.51688,0.36059,1.02017,0.70375,0.85987,0.000573644,0.000573644,0.000573644
85,545.666,1.02184,0.69822,0.86637,0.75987,0.45989,0.51445,0.3558,1.05845,0.70752,0.86648,0.000573025,0.000573025,0.000573025
86,551.836,1.01546,0.69434,0.86608,0.79607,0.42797,0.51076,0.35374,1.047,0.70543,0.86113,0.000572406,0.000572406,0.000572406
87,558.183,1.01984,0.70044,0.86369,0.77616,0.43908,0.51314,0.36035,1.03764,0.69525,0.85989,0.000571787,0.000571787,0.000571787
88,564.464,1.01632,0.7003,0.86618,0.78808,0.43765,0.51377,0.3622,1.01005,0.67086,0.85392,0.000571169,0.000571169,0.000571169
89,570.782,0.99279,0.67871,0.8611,0.82102,0.4304,0.52547,0.36852,0.9831,0.67285,0.84902,0.00057055,0.00057055,0.00057055
90,577.24,1.00043,0.67937,0.86218,0.70893,0.4656,0.52559,0.36801,1.0126,0.67618,0.85422,0.000569931,0.000569931,0.000569931
91,583.499,0.99466,0.67834,0.86029,0.69823,0.49374,0.54748,0.3794,0.96824,0.65505,0.84765,0.000569313,0.000569313,0.000569313
92,589.871,0.97693,0.66721,0.86214,0.77185,0.47817,0.55094,0.38779,0.96033,0.63169,0.84509,0.000568694,0.000568694,0.000568694
93,596.278,0.98139,0.66426,0.8593,0.8018,0.44168,0.53941,0.37338,0.97643,0.65868,0.84889,0.000568075,0.000568075,0.000568075
94,602.757,0.98308,0.66851,0.86349,0.77324,0.45576,0.53919,0.37339,0.98334,0.65643,0.85088,0.000567456,0.000567456,0.000567456
95,609.069,1.00005,0.68042,0.86293,0.78634,0.43853,0.52194,0.37208,0.99822,0.66228,0.85207,0.000566838,0.000566838,0.000566838
96,615.273,1.00747,0.68265,0.86316,0.76325,0.45673,0.52441,0.36823,1.00137,0.66527,0.85016,0.000566219,0.000566219,0.000566219
97,621.492,1.00377,0.68362,0.86335,0.81057,0.43996,0.53096,0.37619,0.97113,0.66094,0.8471,0.0005656,0.0005656,0.0005656
98,627.78,0.99027,0.67132,0.85981,0.77638,0.45308,0.52945,0.36947,1.0179,0.67557,0.85331,0.000564981,0.000564981,0.000564981
99,634.056,0.99803,0.66726,0.86269,0.7747,0.44743,0.53264,0.36917,1.01724,0.66614,0.8546,0.000564363,0.000564363,0.000564363
100,640.391,0.97615,0.65729,0.86201,0.60116,0.50169,0.5494,0.37539,1.01824,0.66353,0.85321,0.000563744,0.000563744,0.000563744
101,646.534,1.0102,0.67695,0.86182,0.65657,0.51312,0.56502,0.38857,0.99117,0.64209,0.85012,0.000563125,0.000563125,0.000563125
102,652.831,0.98531,0.65709,0.86132,0.71925,0.49036,0.56889,0.38574,0.99447,0.63855,0.85367,0.000562506,0.000562506,0.000562506
103,659.183,1.00095,0.66604,0.8631,0.8244,0.45692,0.55835,0.3873,0.97236,0.64198,0.84732,0.000561888,0.000561888,0.000561888
